id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Österåkers kommun,Österåkers kommun,Österåker,0,9,117,Q117728,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8543,Storstockholms kommunalförbund,,"Vallentuna kommun,Norrtälje kommun,Täby kommun,Vaxholms kommun"
Östersunds kommun,Östersunds kommun,Östersund,0,9,2380,Q306789,municipality,Jämtlands län,,Större stad,Större städer och kommuner nära större stad,8392,Jämtland kommunalförbund,,"Bergs kommun,Krokoms kommun,Bräcke kommun,Strömsunds kommun,Ragunda kommun"
Östhammars kommun,Östhammars kommun,Östhammar,0,9,382,Q59093,municipality,Uppsala län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8562,Uppsala kommunalförbund,,"Tierps kommun,Uppsala kommun,Norrtälje kommun"
Östra Göinge kommun,Östra Göinge kommun,Östra Göinge,0,9,1256,Q307370,municipality,Skåne län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8493,,,"Hässleholms kommun,Kristianstads kommun,Olofströms kommun,Osby kommun"
Ovanåkers kommun,Ovanåkers kommun,Ovanåker,0,9,2121,Q505085,municipality,Gävleborgs län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8374,Södra Hälsinglands kommunalförbund,,"Rättviks kommun,Ljusdals kommun,Falu kommun,Bollnäs kommun"
Överkalix kommun,Överkalix kommun,Överkalix,0,9,2513,Q307569,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8433,,,"Luleå kommun,Bodens kommun,Gällivare kommun,Övertorneå kommun,Kalix kommun,Pajala kommun"
Övertorneå kommun,Övertorneå kommun,Övertorneå,0,9,2518,Q307603,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8435,,,"Haparanda kommun,Kalix kommun,Överkalix kommun,Pajala kommun"
Oxelösunds kommun,Oxelösunds kommun,Oxelösund,0,9,481,Q505246,municipality,Södermanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8550,,,Nyköpings kommun
Pajala kommun,Pajala kommun,Pajala,0,9,2521,Q186230,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8436,,,"Kiruna kommun,Gällivare kommun,Övertorneå kommun,Överkalix kommun"
Partille kommun,Partille kommun,Partille,0,9,1402,Q125222,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8676,Storgöteborgs kommunalförbund,,"Göteborgs kommun,Härryda kommun,Lerums kommun"
Perstorps kommun,Perstorps kommun,Perstorp,0,9,1275,Q504249,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8479,,,"Hässleholms kommun,Örkelljunga kommun,Klippans kommun"
Piteå kommun,Piteå kommun,Piteå,0,9,2581,Q507656,municipality,Norrbottens län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8440,,,"Arvidsjaurs kommun,Skellefteå kommun,Luleå kommun,Bodens kommun,Älvsbyns kommun"
Ragunda kommun,Ragunda kommun,Ragunda,0,9,2303,Q515342,municipality,Jämtlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8389,Jämtland kommunalförbund,,"Östersunds kommun,Bräcke kommun,Sundsvalls kommun,Strömsunds kommun,Sollefteå kommun"
Rättviks kommun,Rättviks kommun,Rättvik,0,9,2031,Q504244,municipality,Dalarnas län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8359,,,"Orsa kommun,Leksands kommun,Mora kommun,Ljusdals kommun,Ovanåkers kommun,Falu kommun"
Robertsfors kommun,Robertsfors kommun,Robertsfors,0,9,2409,Q507670,municipality,Västerbottens län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8587,Umeåregionens kommunalförbund,,"Skellefteå kommun,Umeå kommun"
Ronneby kommun,Ronneby kommun,Ronneby,0,9,1081,Q515373,municipality,Blekinge län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8346,Östra Blekinges kommunalförbund,,"Karlshamns kommun,Emmaboda kommun,Tingsryds kommun,Karlskrona kommun"
Säffle kommun,Säffle kommun,Säffle,0,9,1785,Q511326,municipality,Värmlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8577,,,"Åmåls kommun,Bengtsfors kommun,Arvika kommun,Årjängs kommun,Grums kommun"
Sala kommun,Sala kommun,Sala,0,9,1981,Q37399,municipality,Västmanlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8612,,,"Heby kommun,Enköpings kommun,Norbergs kommun,Fagersta kommun,Surahammars kommun,Västerås kommun,Sandvikens kommun,Avesta kommun"
Salems kommun,Salems kommun,Salem,0,9,128,Q1255130,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8506,Södertörns kommunalförbund,,"Södertälje kommun,Botkyrka kommun,Ekerö kommun"
Sandvikens kommun,Sandvikens kommun,Sandviken,0,9,2181,Q149539,municipality,Gävleborgs län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8375,Gästrike kommunalförbund,,"Heby kommun,Sala kommun,Ockelbo kommun,Hofors kommun,Gävle kommun,Avesta kommun,Falu kommun"
Säters kommun,Säters kommun,Säter,0,9,2082,Q1345439,municipality,Dalarnas län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8361,Kommunalförbundet DalaMitt,,"Ludvika kommun,Smedjebackens kommun,Hofors kommun,Falu kommun,Borlänge kommun,Hedemora kommun"
Sävsjö kommun,Sävsjö kommun,Sävsjö,0,9,684,Q505239,municipality,Jönköpings län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8402,,,"Vetlanda kommun,Växjö kommun,Alvesta kommun,Nässjö kommun,Vaggeryds kommun,Värnamo kommun"
Sigtuna kommun,Sigtuna kommun,Sigtuna,0,9,191,Q216915,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8507,Attunda kommunalförbund,,"Upplands Väsby kommun,Upplands-Bro kommun,Vallentuna kommun,Knivsta kommun,Håbo kommun,Uppsala kommun,Norrtälje kommun"
Simrishamns kommun,Simrishamns kommun,Simrishamn,0,9,1291,Q504626,municipality,Skåne län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8480,Sydöstra Skånes kommunalförbund,,"Kristianstads kommun,Ystads kommun,Tomelilla kommun"
Sjöbo kommun,Sjöbo kommun,Sjöbo,0,9,1265,Q504601,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8481,Sydöstra Skånes kommunalförbund,,"Eslövs kommun,Lunds kommun,Ystads kommun,Tomelilla kommun,Hörby kommun,Skurups kommun"
Skara kommun,Skara kommun,Skara,0,9,1495,Q499421,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8677,Mellersta Skaraborgs kommunalförbund,,"Götene kommun,Vara kommun,Lidköpings kommun,Skövde kommun,Falköpings kommun"
Skellefteå kommun,Skellefteå kommun,Skellefteå,0,9,2482,Q430780,municipality,Västerbottens län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8588,,,"Arvidsjaurs kommun,Vindelns kommun,Norsjö kommun,Piteå kommun,Robertsfors kommun,Umeå kommun"
Skinnskattebergs kommun,Skinnskattebergs kommun,Skinnskatteberg,0,9,1904,Q37462,municipality,Västmanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8613,,,"Lindesbergs kommun,Smedjebackens kommun,Fagersta kommun,Köpings kommun,Surahammars kommun"
Skövde kommun,Skövde kommun,Skövde,0,9,1496,Q501452,municipality,Västra Götalands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8678,Östra Skaraborgs kommunalförbund,,"Götene kommun,Skara kommun,Mariestads kommun,Töreboda kommun,Tibro kommun,Hjo kommun,Falköpings kommun,Tidaholms kommun"
Skurups kommun,Skurups kommun,Skurup,0,9,1264,Q515266,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8482,,,"Trelleborgs kommun,Lunds kommun,Svedala kommun,Ystads kommun,Sjöbo kommun"
Smedjebackens kommun,Smedjebackens kommun,Smedjebacken,0,9,2061,Q505046,municipality,Dalarnas län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8360,,,"Ludvika kommun,Lindesbergs kommun,Ljusnarsbergs kommun,Norbergs kommun,Fagersta kommun,Skinnskattebergs kommun,Säters kommun,Hedemora kommun"
Söderhamns kommun,Söderhamns kommun,Söderhamn,0,9,2182,Q145835,municipality,Gävleborgs län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8376,Södra Hälsinglands kommunalförbund,,"Ockelbo kommun,Gävle kommun,Hudiksvalls kommun,Bollnäs kommun"
Söderköpings kommun,Söderköpings kommun,Söderköping,0,9,582,Q515680,municipality,Östergötlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8718,Östra Götalands kommunalförbund,,"Valdemarsviks kommun,Åtvidabergs kommun,Norrköpings kommun,Linköpings kommun"
Södertälje kommun,Södertälje kommun,Södertälje,0,9,181,Q516336,municipality,Stockholms län,Storstockholm,Större stad,Större städer och kommuner nära större stad,8535,Södertörns kommunalförbund,,"Trosa kommun,Nykvarns kommun,Botkyrka kommun,Salems kommun,Gnesta kommun"
Sollefteå kommun,Sollefteå kommun,Sollefteå,0,9,2283,Q221990,municipality,Västernorrlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8599,Kommunalförbundet Höga Kusten och Ådalen,,"Härnösands kommun,Timrå kommun,Sundsvalls kommun,Kramfors kommun,Örnsköldsviks kommun,Dorotea kommun,Åsele kommun,Strömsunds kommun,Ragunda kommun"
Sollentuna kommun,Sollentuna kommun,Sollentuna,0,9,163,Q503746,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8508,Attunda kommunalförbund,,"Upplands Väsby kommun,Järfälla kommun,Sundbybergs kommun,Stockholms kommun,Täby kommun,Danderyds kommun,Solna kommun"
Solna kommun,Solna kommun,Solna,0,9,184,Q109010,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8509,Storstockholms kommunalförbund,,"Sollentuna kommun,Sundbybergs kommun,Stockholms kommun,Danderyds kommun"
Sölvesborgs kommun,Sölvesborgs kommun,Sölvesborg,0,9,1083,Q515409,municipality,Blekinge län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8347,Västra Blekinges kommunalförbund,,"Olofströms kommun,Bromölla kommun,Karlshamns kommun"
Sorsele kommun,Sorsele kommun,Sorsele,0,9,2422,Q501463,municipality,Västerbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8589,,,"Arvidsjaurs kommun,Malå kommun,Lycksele kommun,Storumans kommun,Arjeplogs kommun"
Sotenäs kommun,Sotenäs kommun,Sotenäs,0,9,1427,Q501420,municipality,Västra Götalands län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8679,,,"Munkedals kommun,Tanums kommun,Lysekils kommun"
Staffanstorps kommun,Staffanstorps kommun,Staffanstorp,0,9,1230,Q504609,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8483,,,"Lomma kommun,Burlövs kommun,Lunds kommun,Malmö kommun,Svedala kommun"
Stenungsunds kommun,Stenungsunds kommun,Stenungsund,0,9,1415,Q511438,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8680,Södra Bohusläns kommunalförbund,,"Kungälvs kommun,Uddevalla kommun,Orusts kommun,Lilla Edets kommun"
Stockholms kommun,Stockholms kommun,Stockholm,0,9,180,Q506250,municipality,Stockholms län,Storstockholm,Storstäder,Storstäder och storstadsnära kommuner,8510,Storstockholms kommunalförbund,,"Sollentuna kommun,Järfälla kommun,Sundbybergs kommun,Ekerö kommun,Lidingö kommun,Nacka kommun,Tyresö kommun,Huddinge kommun,Danderyds kommun,Solna kommun"
Storfors kommun,Storfors kommun,Storfors,0,9,1760,Q505936,municipality,Värmlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8575,Bergslagens kommunalförbund,,"Karlstads kommun,Kristinehamns kommun,Degerfors kommun,Karlskoga kommun,Hällefors kommun,Filipstads kommun"
Storumans kommun,Storumans kommun,Storuman,0,9,2421,Q499415,municipality,Västerbottens län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8590,,,"Lycksele kommun,Sorsele kommun,Vilhelmina kommun"
Strängnäs kommun,Strängnäs kommun,Strängnäs,0,9,486,Q501532,municipality,Södermanlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8551,,,"Nykvarns kommun,Eskilstuna kommun,Flens kommun,Gnesta kommun"
Strömstads kommun,Strömstads kommun,Strömstad,0,9,1486,Q501424,municipality,Västra Götalands län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8681,,,Tanums kommun
Strömsunds kommun,Strömsunds kommun,Strömsund,0,9,2313,Q514770,municipality,Jämtlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8390,Jämtland kommunalförbund,,"Krokoms kommun,Östersunds kommun,Vilhelmina kommun,Dorotea kommun,Sollefteå kommun,Ragunda kommun"
Sundbybergs kommun,Sundbybergs kommun,Sundbyberg,0,9,183,Q972564,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8534,Storstockholms kommunalförbund,,"Sollentuna kommun,Stockholms kommun,Solna kommun"
Sundsvalls kommun,Sundsvalls kommun,Sundsvall,0,9,2281,Q504994,municipality,Västernorrlands län,,Större stad,Större städer och kommuner nära större stad,8600,Medelpads kommunalförbund,,"Ånge kommun,Nordanstigs kommun,Bräcke kommun,Härnösands kommun,Timrå kommun,Sollefteå kommun,Ragunda kommun"
Sunne kommun,Sunne kommun,Sunne,0,9,1766,Q501205,municipality,Värmlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8576,,,"Arvika kommun,Forshaga kommun,Munkfors kommun,Torsby kommun,Kils kommun,Hagfors kommun"
Surahammars kommun,Surahammars kommun,Surahammar,0,9,1907,Q34078,municipality,Västmanlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8614,Mälardalens kommunalförbund,,"Fagersta kommun,Skinnskattebergs kommun,Köpings kommun,Sala kommun,Västerås kommun,Hallstahammars kommun"
Svalövs kommun,Svalövs kommun,Svalöv,0,9,1214,Q504227,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8484,,,"Eslövs kommun,Kävlinge kommun,Helsingborgs kommun,Bjuvs kommun,Landskrona kommun,Klippans kommun,Åstorps kommun"
Svedala kommun,Svedala kommun,Svedala,0,9,1263,Q515706,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8485,,,"Trelleborgs kommun,Burlövs kommun,Staffanstorps kommun,Lunds kommun,Malmö kommun,Vellinge kommun,Skurups kommun"
Svenljunga kommun,Svenljunga kommun,Svenljunga,0,9,1465,Q501487,municipality,Västra Götalands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8682,Södra Älvsborgs kommunalförbund,,"Borås kommun,Falkenbergs kommun,Marks kommun,Varbergs kommun,Tranemo kommun,Gislaveds kommun"
Täby kommun,Täby kommun,Täby,0,9,160,Q493066,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8537,Storstockholms kommunalförbund,,"Upplands Väsby kommun,Sollentuna kommun,Vallentuna kommun,Österåkers kommun,Danderyds kommun"
Tanums kommun,Tanums kommun,Tanum,0,9,1435,Q511228,municipality,Västra Götalands län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8683,,,"Munkedals kommun,Sotenäs kommun,Strömstads kommun,Dals-Eds kommun"
Tibro kommun,Tibro kommun,Tibro,0,9,1472,Q501432,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8684,Östra Skaraborgs kommunalförbund,,"Töreboda kommun,Karlsborgs kommun,Skövde kommun,Hjo kommun"
Tidaholms kommun,Tidaholms kommun,Tidaholm,0,9,1498,Q501459,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8685,Mellersta Skaraborgs kommunalförbund,,"Skövde kommun,Hjo kommun,Falköpings kommun,Mullsjö kommun,Habo kommun"
Tierps kommun,Tierps kommun,Tierp,0,9,360,Q510198,municipality,Uppsala län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8559,Uppsala kommunalförbund,,"Heby kommun,Östhammars kommun,Älvkarleby kommun,Uppsala kommun,Gävle kommun"
Timrå kommun,Timrå kommun,Timrå,0,9,2262,Q504983,municipality,Västernorrlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8601,Medelpads kommunalförbund,,"Härnösands kommun,Sundsvalls kommun,Sollefteå kommun"
Tingsryds kommun,Tingsryds kommun,Tingsryd,0,9,763,Q515491,municipality,Kronobergs län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8425,Östra Kronobergs kommunalförbund,,"Olofströms kommun,Karlshamns kommun,Ronneby kommun,Emmaboda kommun,Lessebo kommun,Växjö kommun,Alvesta kommun,Älmhults kommun"
Tjörns kommun,Tjörns kommun,Tjörn,0,9,1419,Q501448,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8686,Södra Bohusläns kommunalförbund,,Orusts kommun
Tomelilla kommun,Tomelilla kommun,Tomelilla,0,9,1270,Q515519,municipality,Skåne län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8486,Sydöstra Skånes kommunalförbund,,"Simrishamns kommun,Kristianstads kommun,Ystads kommun,Hörby kommun,Sjöbo kommun"
Töreboda kommun,Töreboda kommun,Töreboda,0,9,1473,Q501470,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8689,Östra Skaraborgs kommunalförbund,,"Mariestads kommun,Karlsborgs kommun,Tibro kommun,Skövde kommun,Gullspångs kommun,Laxå kommun"
Torsås kommun,Torsås kommun,Torsås,0,9,834,Q515551,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8417,Emmaboda-Torsås kommunalförbund,,"Emmaboda kommun,Karlskrona kommun,Kalmar kommun"
Torsby kommun,Torsby kommun,Torsby,0,9,1737,Q510135,municipality,Värmlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8578,,,"Arvika kommun,Sunne kommun,Malung-Sälens kommun,Hagfors kommun"
Tranås kommun,Tranås kommun,Tranås,0,9,687,Q505071,municipality,Jönköpings län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8403,,,"Boxholms kommun,Ydre kommun,Ödeshögs kommun,Aneby kommun,Jönköpings kommun"
Tranemo kommun,Tranemo kommun,Tranemo,0,9,1452,Q501479,municipality,Västra Götalands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8687,Södra Älvsborgs kommunalförbund,,"Borås kommun,Svenljunga kommun,Ulricehamns kommun,Gislaveds kommun,Jönköpings kommun"
Trelleborgs kommun,Trelleborgs kommun,Trelleborg,0,9,1287,Q504219,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8487,,,"Lunds kommun,Svedala kommun,Vellinge kommun,Skurups kommun"
Trollhättans kommun,Trollhättans kommun,Trollhättan,0,9,1488,Q28532,municipality,Västra Götalands län,,Större stad,Större städer och kommuner nära större stad,8688,Norra Älvsborgs kommunalförbund,,"Uddevalla kommun,Vänersborgs kommun,Alingsås kommun,Ale kommun,Lilla Edets kommun,Essunga kommun,Grästorps kommun"
Trosa kommun,Trosa kommun,Trosa,0,9,488,Q505064,municipality,Södermanlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8552,,,"Södertälje kommun,Gnesta kommun,Nyköpings kommun"
Tyresö kommun,Tyresö kommun,Tyresö,0,9,138,Q113730,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8536,Södertörns kommunalförbund,,"Nacka kommun,Stockholms kommun,Huddinge kommun,Haninge kommun"
Uddevalla kommun,Uddevalla kommun,Uddevalla,0,9,1485,Q501442,municipality,Västra Götalands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8690,Kommunalförbundet Mitt Bohuslän,,"Munkedals kommun,Stenungsunds kommun,Lysekils kommun,Orusts kommun,Färgelanda kommun,Vänersborgs kommun,Trollhättans kommun,Lilla Edets kommun"
Ulricehamns kommun,Ulricehamns kommun,Ulricehamn,0,9,1491,Q382808,municipality,Västra Götalands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8691,Södra Älvsborgs kommunalförbund,,"Borås kommun,Herrljunga kommun,Tranemo kommun,Falköpings kommun,Mullsjö kommun,Jönköpings kommun"
Umeå kommun,Umeå kommun,Umeå,0,9,2480,Q507709,municipality,Västerbottens län,,Större stad,Större städer och kommuner nära större stad,8591,Umeåregionens kommunalförbund,,"Vindelns kommun,Nordmalings kommun,Skellefteå kommun,Robertsfors kommun,Vännäs kommun"
Upplands Väsby kommun,Upplands Väsby kommun,Upplands Väsby,0,9,114,Q499425,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8539,Attunda kommunalförbund,,"Upplands-Bro kommun,Sollentuna kommun,Järfälla kommun,Vallentuna kommun,Sigtuna kommun,Täby kommun"
Upplands-Bro kommun,Upplands-Bro kommun,Upplands-Bro,0,9,139,Q113673,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8538,Attunda kommunalförbund,,"Upplands Väsby kommun,Järfälla kommun,Ekerö kommun,Sigtuna kommun,Håbo kommun"
Uppsala kommun,Uppsala kommun,Uppsala,0,9,380,Q59091,municipality,Uppsala län,,Större stad,Större städer och kommuner nära större stad,8560,Uppsala kommunalförbund,,"Heby kommun,Östhammars kommun,Knivsta kommun,Sigtuna kommun,Håbo kommun,Tierps kommun,Enköpings kommun,Norrtälje kommun"
Uppsala kommun före 2003,Uppsala kommun före 2003,Uppsala före 2003,0,2002-12-31,380,Q59091,municipality,Uppsala län,,Större stad,Större städer och kommuner nära större stad,8560,,Uppsala kommun before Knivsta kommun was separated,"Heby kommun,Östhammars kommun,Sigtuna kommun,Håbo kommun,Tierps kommun,Enköpings kommun,Norrtälje kommun"
Uppvidinge kommun,Uppvidinge kommun,Uppvidinge,0,9,760,Q515505,municipality,Kronobergs län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8426,Östra Kronobergs kommunalförbund,,"Lessebo kommun,Vetlanda kommun,Växjö kommun,Nybro kommun,Högsby kommun,Hultsfreds kommun"
Vadstena kommun,Vadstena kommun,Vadstena,0,9,584,Q515969,municipality,Östergötlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8719,,,"Motala kommun,Mjölby kommun,Ödeshögs kommun"
Vaggeryds kommun,Vaggeryds kommun,Vaggeryd,0,9,665,Q605329,municipality,Jönköpings län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8404,,,"Nässjö kommun,Sävsjö kommun,Värnamo kommun,Gnosjö kommun,Gislaveds kommun,Jönköpings kommun"
Valdemarsviks kommun,Valdemarsviks kommun,Valdemarsvik,0,9,563,Q509997,municipality,Östergötlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8720,Östra Götalands kommunalförbund,,"Västerviks kommun,Söderköpings kommun,Åtvidabergs kommun"
Vallentuna kommun,Vallentuna kommun,Vallentuna,0,9,115,Q501526,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8540,Storstockholms kommunalförbund,,"Upplands Väsby kommun,Sigtuna kommun,Österåkers kommun,Norrtälje kommun,Täby kommun"
Vänersborgs kommun,Vänersborgs kommun,Vänersborg,0,9,1487,Q511426,municipality,Västra Götalands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8693,Norra Älvsborgs kommunalförbund,,"Uddevalla kommun,Melleruds kommun,Färgelanda kommun,Trollhättans kommun,Lilla Edets kommun,Grästorps kommun,Lidköpings kommun"
Vännäs kommun,Vännäs kommun,Vännäs,0,9,2460,Q500210,municipality,Västerbottens län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8594,,,"Vindelns kommun,Nordmalings kommun,Bjurholms kommun,Umeå kommun"
Vansbro kommun,Vansbro kommun,Vansbro,0,9,2021,Q501551,municipality,Dalarnas län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8362,Norra Dalarnas kommunalförbund,,"Ludvika kommun,Leksands kommun,Mora kommun,Malung-Sälens kommun,Filipstads kommun,Gagnefs kommun"
Vara kommun,Vara kommun,Vara,0,9,1470,Q501428,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8692,Västra Skaraborgs kommunalförbund,,"Skara kommun,Herrljunga kommun,Essunga kommun,Grästorps kommun,Lidköpings kommun,Falköpings kommun"
Varbergs kommun,Varbergs kommun,Varberg,0,9,1383,Q179180,municipality,Hallands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8383,Kommunalförbundet Väst,,"Svenljunga kommun,Falkenbergs kommun,Marks kommun,Kungsbacka kommun"
Vårgårda kommun,Vårgårda kommun,Vårgårda,0,9,1442,Q511297,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8694,Alingsås och Vårgårda kommunalförbund,,"Borås kommun,Bollebygds kommun,Alingsås kommun,Herrljunga kommun,Essunga kommun"
Värmdö kommun,Värmdö kommun,Värmdö,0,9,120,Q493841,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8542,Storstockholms kommunalförbund,,Nacka kommun
Värnamo kommun,Värnamo kommun,Värnamo,0,9,683,Q280562,municipality,Jönköpings län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8406,,,"Alvesta kommun,Ljungby kommun,Sävsjö kommun,Vaggeryds kommun,Gnosjö kommun,Gislaveds kommun"
Västerås kommun,Västerås kommun,Västerås,0,9,1980,Q34550,municipality,Västmanlands län,,Större stad,Större städer och kommuner nära större stad,8615,,,"Enköpings kommun,Köpings kommun,Sala kommun,Surahammars kommun,Hallstahammars kommun"
Västerviks kommun,Västerviks kommun,Västervik,0,9,883,Q515477,municipality,Kalmar län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8419,Mälardalens kommunalförbund,,"Oskarshamns kommun,Vimmerby kommun,Valdemarsviks kommun,Åtvidabergs kommun,Kinda kommun"
