id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Boxholms kommun,Boxholms kommun,Boxholm,0,9,560,Q509514,municipality,Östergötlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8711,,,"Mjölby kommun,Linköpings kommun,Kinda kommun,Ydre kommun,Tranås kommun,Ödeshögs kommun"
Bräcke kommun,Bräcke kommun,Bräcke,0,9,2305,Q504261,municipality,Jämtlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8386,Jämtland kommunalförbund,,"Bergs kommun,Östersunds kommun,Ånge kommun,Sundsvalls kommun,Ragunda kommun"
Bromölla kommun,Bromölla kommun,Bromölla,0,9,1272,Q514830,municipality,Skåne län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8446,,,"Kristianstads kommun,Olofströms kommun,Sölvesborgs kommun"
Burlövs kommun,Burlövs kommun,Burlöv,0,9,1231,Q186662,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8447,Kommunalförbundet Syd,,"Lomma kommun,Staffanstorps kommun,Malmö kommun,Svedala kommun"
Dals-Eds kommun,Dals-Eds kommun,Dals-Ed,0,9,1438,Q503132,municipality,Västra Götalands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8622,,,"Munkedals kommun,Tanums kommun,Bengtsfors kommun,Färgelanda kommun,Årjängs kommun"
Danderyds kommun,Danderyds kommun,Danderyd,0,9,162,Q113679,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8496,Storstockholms kommunalförbund,,"Sollentuna kommun,Lidingö kommun,Stockholms kommun,Täby kommun,Solna kommun"
Degerfors kommun,Degerfors kommun,Degerfors,0,9,1862,Q509469,municipality,Örebro län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8699,Bergslagens kommunalförbund,,"Lekebergs kommun,Storfors kommun,Kristinehamns kommun,Gullspångs kommun,Laxå kommun,Karlskoga kommun"
Dorotea kommun,Dorotea kommun,Dorotea,0,9,2425,Q132334,municipality,Västerbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8582,,,"Vilhelmina kommun,Åsele kommun,Strömsunds kommun,Sollefteå kommun"
Eda kommun,Eda kommun,Eda,0,9,1730,Q498447,municipality,Värmlands län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8565,,,"Arvika kommun,Årjängs kommun"
Ekerö kommun,Ekerö kommun,Ekerö,0,9,125,Q492614,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8497,Södertörns kommunalförbund,,"Botkyrka kommun,Salems kommun,Upplands-Bro kommun,Stockholms kommun"
Eksjö kommun,Eksjö kommun,Eksjö,0,9,686,Q512035,municipality,Jönköpings län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8395,,,"Vetlanda kommun,Hultsfreds kommun,Vimmerby kommun,Ydre kommun,Aneby kommun,Nässjö kommun"
Emmaboda kommun,Emmaboda kommun,Emmaboda,0,9,862,Q509452,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8409,Emmaboda-Torsås kommunalförbund,,"Ronneby kommun,Lessebo kommun,Tingsryds kommun,Karlskrona kommun,Nybro kommun,Kalmar kommun,Torsås kommun"
Enköpings kommun,Enköpings kommun,Enköping,0,9,381,Q509568,municipality,Uppsala län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8555,Enköping-Håbos kommunalförbund,,"Heby kommun,Håbo kommun,Uppsala kommun,Sala kommun,Västerås kommun"
