id,label,start,end,scb,wikidata,parent,metro,brå_id,desc
Tomelilla kommun,Tomelilla kommun,0,9,1270,Q515519,Skåne län,,8486,
Bromölla kommun,Bromölla kommun,0,9,1272,Q514830,Skåne län,,8446,
Osby kommun,Osby kommun,0,9,1273,Q504594,Skåne län,,8478,
Perstorps kommun,Perstorps kommun,0,9,1275,Q504249,Skåne län,,8479,
Klippans kommun,Klippans kommun,0,9,1276,Q504614,Skåne län,,8455,
Åstorps kommun,Åstorps kommun,0,9,1277,Q201813,Skåne län,,8490,
Båstads kommun,Båstads kommun,0,9,1278,Q499464,Skåne län,,8448,
Malmö kommun,Malmö kommun,0,9,1280,Q503361,Skåne län,Stormalmö,8461,
Lunds kommun,Lunds kommun,0,9,1281,Q505018,Skåne län,Stormalmö,8460,
Landskrona kommun,Landskrona kommun,0,9,1282,Q502298,Skåne län,,8458,
Helsingborgs kommun,Helsingborgs kommun,0,9,1283,Q487648,Skåne län,,8450,
Höganäs kommun,Höganäs kommun,0,9,1284,Q505013,Skåne län,,8452,
Eslövs kommun,Eslövs kommun,0,9,1285,Q1130264,Skåne län,Stormalmö,8449,
Ystads kommun,Ystads kommun,0,9,1286,Q505102,Skåne län,,8489,
Trelleborgs kommun,Trelleborgs kommun,0,9,1287,Q504219,Skåne län,Stormalmö,8487,
Kristianstads kommun,Kristianstads kommun,0,9,1290,Q498857,Skåne län,,8456,
Simrishamns kommun,Simrishamns kommun,0,9,1291,Q504626,Skåne län,,8480,
Ängelholms kommun,Ängelholms kommun,0,9,1292,Q255206,Skåne län,,8491,
Hässleholms kommun,Hässleholms kommun,0,9,1293,Q508125,Skåne län,,8451,
Hylte kommun,Hylte kommun,0,9,1315,Q498477,Hallands län,,8380,
Halmstads kommun,Halmstads kommun,0,9,1380,Q504692,Hallands län,,8379,
Laholms kommun,Laholms kommun,0,9,1381,Q487502,Hallands län,,8382,
Falkenbergs kommun,Falkenbergs kommun,0,9,1382,Q508168,Hallands län,,8378,
Varbergs kommun,Varbergs kommun,0,9,1383,Q179180,Hallands län,,8383,
Kungsbacka kommun,Kungsbacka kommun,0,9,1384,Q499380,Hallands län,Storgöteborg,8381,
Härryda kommun,Härryda kommun,0,9,1401,Q500125,Västra Götalands län,Storgöteborg,8663,
Partille kommun,Partille kommun,0,9,1402,Q125222,Västra Götalands län,Storgöteborg,8676,
Öckerö kommun,Öckerö kommun,0,9,1407,Q293928,Västra Götalands län,Storgöteborg,8696,
Stenungsunds kommun,Stenungsunds kommun,0,9,1415,Q511438,Västra Götalands län,Storgöteborg,8680,
Tjörns kommun,Tjörns kommun,0,9,1419,Q501448,Västra Götalands län,Storgöteborg,8686,
Orusts kommun,Orusts kommun,0,9,1421,Q338752,Västra Götalands län,,8675,
Sotenäs kommun,Sotenäs kommun,0,9,1427,Q501420,Västra Götalands län,,8679,
