id,_id,label,label_short,parent,disambiguation-affix,region_level,iso_code,wikidata,start,end,_neighbours
Balestrand,Balestrand,Balestrand kommune,Balestrand,Sogn og Fjordane,,municipality,,493292,0,9,"Førde,Sogndal,Leikanger,Vik,Høyanger,Gaular"
Ballangen,Ballangen,Ballangen kommune,Ballangen,Nordland,,municipality,,113514,0,9,"Narvik,Tysfjord,Tjeldsund,Evenes"
Balsfjord,Balsfjord,Balsfjord kommune,Balsfjord,Troms,,municipality,,486717,0,9,"Tromsø,Storfjord,Målselv,Lenvik"
Bamble,Bamble,Bamble kommune,Bamble,Telemark,,municipality,,484052,0,9,"Kragerø,Drangedal,Skien,Porsgrunn"
Bardu,Bardu,Bardu kommune,Bardu,Troms,,municipality,,493315,0,9,"Sørreisa,Målselv,Salangen,Lavangen,Narvik"
Beiarn,Beiarn,Beiarn kommune,Beiarn,Nordland,,municipality,,487524,0,9,"Bodø,Saltdal,Rana,Meløy,Gildeskål"
Berg,Berg,Berg kommune,Berg,Troms,,municipality,,503912,0,9,"Lenvik,Tranøy,Torsken"
Bergen,Bergen,Bergen kommune,Bergen,Hordaland,,municipality,,26793,0,9,"Vaksdal,Lindås,Askøy,Austevoll,Samnanger,Meland,Os (Hordaland),Sund"
Berlevåg,Berlevåg,Berlevåg kommune,Berlevåg,Finnmark,,municipality,,109489,0,9,"Tana,Båtsfjord,Vadsø"
Bindal,Bindal,Bindal kommune,Bindal,Nordland,,municipality,,489362,0,9,"Sømna,Brønnøy,Grane,Namsskogan,Høylandet,Nærøy,Leka"
Birkenes,Birkenes,Birkenes kommune,Birkenes,Aust-Agder,,municipality,,88802,0,9,"Kristiansand (Vest-Agder),Vennesla,Iveland,Evje og Hornnes,Froland,Grimstad,Lillesand"
Bjerkreim,Bjerkreim,Bjerkreim kommune,Bjerkreim,Rogaland,,municipality,,493308,0,9,"Gjesdal,Sirdal,Eigersund,Hå,Time"
Bjugn,Bjugn,Bjugn kommune,Bjugn,Trøndelag,,municipality,,484243,0,9,"Åfjord,Rissa (until 2017-12-31),Ørland,Frøya,Indre Fosen (until 2019-12-31)"
Bodø,Bodø,Bodø kommune,Bodø,Nordland,,municipality,,39383,0,9,"Sørfold,Fauske,Saltdal,Beiarn,Gildeskål"
Bokn,Bokn,Bokn kommune,Bokn,Rogaland,,municipality,,489351,0,9,"Karmøy,Tysvær,Finnøy,Rennesøy,Kvitsøy"
Bremanger,Bremanger,Bremanger kommune,Bremanger,Sogn og Fjordane,,municipality,,499455,0,9,"Gloppen,Flora,Vågsøy,Eid"
Brønnøy,Brønnøy,Brønnøy kommune,Brønnøy,Nordland,,municipality,,112855,0,9,"Vega,Vevelstad,Vefsn,Grane,Bindal,Sømna"
Bygland,Bygland,Bygland kommune,Bygland,Aust-Agder,,municipality,,88804,0,9,"Valle,Fyresdal,Åmli,Froland,Evje og Hornnes,Åseral,Kvinesdal,Sirdal"
Bykle,Bykle,Bykle kommune,Bykle,Aust-Agder,,municipality,,88806,0,9,"Vinje,Tokke,Valle,Sirdal,Forsand,Hjelmeland,Suldal"
Bærum,Bærum,Bærum kommune,Bærum,Akershus,,municipality,,57076,0,9,"Asker,Lier,Hole,Ringerike,Oslo,Nesodden"
Bø (Telemark),Bø (Telemark),Bø kommune ,Bø,Telemark,,municipality,,499450,0,9,"Notodden,Sauherad,Nome,Kviteseid,Seljord"
Bø (Nordland),Bø (Nordland),Bø kommune ,Bø,Nordland,,municipality,,484012,0,9,"Sortland,Øksnes"
Bømlo,Bømlo,Bømlo kommune,Bømlo,Hordaland,,municipality,,113552,0,9,"Austevoll,Fitjar,Stord,Sveio,Haugesund"
Båtsfjord,Båtsfjord,Båtsfjord kommune,Båtsfjord,Finnmark,,municipality,,48813,0,9,"Vardø,Vadsø,Berlevåg,Tana"
Dovre,Dovre,Dovre kommune,Dovre,Oppland,,municipality,,486677,0,9,"Oppdal,Folldal,Sel,Vågå,Lesja"
Drammen,Drammen,Drammen kommune,Drammen,Buskerud,,municipality,,26525,0,9,"Lier,Svelvik,Sande (Vestfold),Hof (until 2017-12-31),Nedre Eiker,Holmestrand"
Drangedal,Drangedal,Drangedal kommune,Drangedal,Telemark,,municipality,,2367,0,9,"Gjerstad,Nissedal,Kviteseid,Nome,Skien,Bamble,Kragerø"
Dyrøy,Dyrøy,Dyrøy kommune,Dyrøy,Troms,,municipality,,252381,0,9,"Sørreisa,Salangen,Tranøy,Ibestad"
Dønna,Dønna,Dønna kommune,Dønna,Nordland,,municipality,,489347,0,9,"Træna,Nesna,Leirfjord,Alstahaug,Herøy (Nordland),Lurøy"
Eid,Eid,Eid kommune,Eid,Sogn og Fjordane,,municipality,,500198,0,9,"Vanylven,Volda,Hornindal,Stryn,Gloppen,Bremanger,Vågsøy"
Eide,Eide,Eide kommune,Eide,Møre og Romsdal,,municipality,,493296,0,9,"Gjemnes,Fræna,Averøy"
Eidfjord,Eidfjord,Eidfjord kommune,Eidfjord,Hordaland,,municipality,,483977,0,9,"Ulvik,Hol,Nore og Uvdal,Ullensvang"
Eidsberg,Eidsberg,Eidsberg kommune,Eidsberg,Østfold,,municipality,,113740,0,9,"Askim,Trøgstad,Marker,Rakkestad,Skiptvet,Aurskog-Høland"
Eidskog,Eidskog,Eidskog kommune,Eidskog,Hedmark,,municipality,,48913,0,9,"Kongsvinger,Sør-Odal,Aurskog-Høland,Nes"
Eidsvoll,Eidsvoll,Eidsvoll kommune,Eidsvoll,Akershus,,municipality,,57080,0,9,"Østre Toten,Stange,Nord-Odal,Nes,Ullensaker,Nannestad,Hurdal"
Eigersund,Eigersund,Eigersund kommune,Eigersund,Rogaland,,municipality,,483877,0,9,"Hå,Bjerkreim,Sirdal,Lund,Sokndal"
Elverum,Elverum,Elverum kommune,Elverum,Hedmark,,municipality,,109140,0,9,"Åmot,Trysil,Våler (Hedmark),Løten"
Enebakk,Enebakk,Enebakk kommune,Enebakk,Akershus,,municipality,,57081,0,9,"Rælingen,Lørenskog,Oslo,Ski,Hobøl,Spydeberg,Trøgstad,Fet"
Engerdal,Engerdal,Engerdal kommune,Engerdal,Hedmark,,municipality,,48909,0,9,"Trysil,Rendalen,Tolga,Os (Hedmark),Røros"
Etne,Etne,Etne kommune,Etne,Hordaland,,municipality,,48782,0,9,"Kvinnherad,Odda,Sauda,Suldal,Vindafjord"
Etnedal,Etnedal,Etnedal kommune,Etnedal,Oppland,,municipality,,488049,0,9,"Nordre Land,Sør-Aurdal,Nord-Aurdal"
Evenes,Evenes,Evenes kommune,Evenes,Nordland,,municipality,,48897,0,9,"Skånland,Tjeldsund,Narvik,Ballangen"
Evje og Hornnes,Evje og Hornnes,Evje og Hornnes kommune,Evje og Hornnes,Aust-Agder,,municipality,,88808,0,9,"Bygland,Froland,Birkenes,Iveland,Vennesla,Marnardal,Audnedal,Åseral"
Farsund,Farsund,Farsund kommune,Farsund,Vest-Agder,,municipality,,490462,0,9,"Kvinesdal,Lyngdal"
Fauske,Fauske,Fauske kommune,Fauske,Nordland,,municipality,,48696,0,9,"Bodø,Saltdal,Sørfold"
Fedje,Fedje,Fedje kommune,Fedje,Hordaland,,municipality,,484213,0,9,"Gulen,Austrheim,Radøy,Øygarden"
Fet,Fet,Fet kommune,Fet,Akershus,,municipality,,57082,0,9,"Skedsmo,Sørum,Aurskog-Høland,Trøgstad,Enebakk,Rælingen"
Finnøy,Finnøy,Finnøy kommune,Finnøy,Rogaland,,municipality,,48750,0,9,"Hjelmeland,Tysvær,Suldal,Strand,Rennesøy,Bokn"
Fitjar,Fitjar,Fitjar kommune,Fitjar,Hordaland,,municipality,,113491,0,9,"Stord,Tysnes,Austevoll,Bømlo"
