id,label
SNI2007_23130,"tillverkning av buteljer, glasförpackningar och husgeråd av glas"
SNI2007_23140,tillverkning av glasfiber
SNI2007_23190,tillverkning av andra glasvaror inklusive tekniska glasvaror
SNI2007_23200,tillverkning av eldfasta produkter
SNI2007_23310,tillverkning av keramiska golv- och väggplattor
SNI2007_23320,"tillverkning av murtegel, takpannor och andra byggvaror av tegel"
SNI2007_23410,tillverkning av keramiska hushålls- och prydnadsartiklar
SNI2007_23420,tillverkning av keramiska sanitetsartiklar
SNI2007_23430,tillverkning av keramiska isolatorer o.d.
SNI2007_23440,tillverkning av andra tekniska keramiska produkter
SNI2007_23490,tillverkning av andra keramiska produkter
SNI2007_23510,tillverkning av cement
SNI2007_23520,tillverkning av kalk och gips
SNI2007_23610,tillverkning av betongvaror  för byggändamål
SNI2007_23620,tillverkning av gipsvaror  för byggändamål
SNI2007_23630,tillverkning av fabriksblandad betong
SNI2007_23640,tillverkning av murbruk
SNI2007_23650,tillverkning av fibercementvaror
SNI2007_23690,"tillverkning av andra varor av betong, cement och gips"
SNI2007_23701,"huggning, formning och slutlig bearbetning av sten för byggnadsändamål"
SNI2007_23709,"huggning, formning och slutlig bearbetning av sten för prydnadsändamål"
SNI2007_23910,slipmedelstillverkning
SNI2007_23991,tillverkning av varor av sten- och mineralull
SNI2007_23999,diverse övrig tillverkning av icke-metalliska mineraliska produkter
SNI2007_24100,framställning av järn och stål samt ferrolegeringar
SNI2007_24200,"tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål"
SNI2007_24310,tillverkning av kalldragen stålstång
SNI2007_24320,tillverkning av kallvalsade stålband
SNI2007_24330,tillverkning av andra kallformade produkter av stål
SNI2007_24340,tillverkning av kalldragen ståltråd
SNI2007_24410,framställning av ädla metaller
SNI2007_24420,framställning av aluminium
SNI2007_24430,"framställning av bly, zink och tenn"
SNI2007_24440,framställning av koppar
SNI2007_24450,framställning av andra metaller
SNI2007_24460,tillverkning av kärnbränsle
SNI2007_24510,gjutning av järn
SNI2007_24520,gjutning av stål
SNI2007_24530,gjutning av lättmetall
SNI2007_24540,gjutning av andra metaller
SNI2007_25110,tillverkning av metallstommar och delar därav
SNI2007_25120,tillverkning av dörrar och fönster av metall
SNI2007_25210,tillverkning av radiatorer och pannor för centraluppvärmning
SNI2007_25290,"tillverkning av andra cisterner, tankar, kar och andra behållare av metall"
SNI2007_25300,tillverkning av ånggeneratorer utom varmvattenpannor för centraluppvärmning
SNI2007_25400,tillverkning av vapen och ammunition
SNI2007_25500,"smidning, pressning, prägling och valsning av metall; pulvermetallurgi"
SNI2007_25610,beläggning och överdragning av metall
SNI2007_25620,metallegoarbeten
SNI2007_25710,tillverkning av bestick
SNI2007_25720,tillverkning av lås och gångjärn
SNI2007_25730,tillverkning av verktyg och redskap
SNI2007_25910,tillverkning av stålfat o.d. behållare
SNI2007_25920,tillverkning av lättmetallförpackningar
SNI2007_25930,"tillverkning av metalltrådvaror, kedjor och fjädrar"
SNI2007_25940,tillverkning av nitar och skruvar
SNI2007_25991,"tillverkning av diskbänkar, sanitetsgods m. m. av metall för byggändamål"
SNI2007_25999,diverse övrig metallvarutillverkning
SNI2007_26110,tillverkning av elektroniska komponenter
SNI2007_26120,tillverkning av kretskort
SNI2007_26200,tillverkning av datorer och kringutrustning
SNI2007_26300,tillverkning av kommunikationsutrustning
SNI2007_26400,tillverkning av hemelektronik
SNI2007_26510,"tillverkning av instrument och apparater för mätning, provning och navigering"
SNI2007_26520,urtillverkning
SNI2007_26600,tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning
SNI2007_26700,tillverkning av optiska instrument och fotoutrustning
SNI2007_26800,tillverkning av magnetiska och optiska medier
SNI2007_27110,"tillverkning av elmotorer, generatorer och transformatorer"
SNI2007_27120,tillverkning av eldistributions- och elkontrollapparater
SNI2007_27200,batteri- och ackumulatortillverkning
SNI2007_27310,tillverkning av optiska fiberkablar
SNI2007_27320,tillverkning av andra elektroniska och elektriska ledningar och kablar
SNI2007_27330,tillverkning av kabeltillbehör
SNI2007_27400,tillverkning av belysningsarmatur
SNI2007_27510,tillverkning av elektriska hushållsmaskiner och hushållsapparater
SNI2007_27520,tillverkning av icke-elektriska hushållsmaskiner och hushållsapparater
SNI2007_27900,tillverkning av annan elapparatur
SNI2007_28110,tillverkning av motorer och turbiner utom för luftfartyg och fordon
SNI2007_28120,tillverkning av fluidteknisk utrustning
SNI2007_28130,tillverkning av andra pumpar och kompressorer
SNI2007_28140,tillverkning av andra kranar och ventiler
SNI2007_28150,"tillverkning av lager, kugghjul och andra delar för kraftöverföring"
SNI2007_28210,tillverkning av ugnar och brännare
SNI2007_28220,tillverkning av lyft- och godshanteringsanordningar
SNI2007_28230,tillverkning av kontorsmaskiner och kontorsutrustning (utom datorer och kringutrustning)
SNI2007_28240,tillverkning av motordrivna handverktyg
SNI2007_28250,tillverkning av maskiner och apparater för kyla och ventilation utom för hushåll
SNI2007_28290,övrig tillverkning av maskiner för allmänt ändamål
SNI2007_28300,tillverkning av jord- och skogsbruksmaskiner
SNI2007_28410,tillverkning av verktygsmaskiner för metallbearbetning
SNI2007_28490,tillverkning av övriga verktygsmaskiner
SNI2007_28910,tillverkning av maskiner för metallurgi
SNI2007_28920,"tillverkning av gruv-, bergbrytnings- och byggmaskiner"
SNI2007_28930,"tillverkning av maskiner för framställning av livsmedel, drycker och tobaksvaror"
SNI2007_28940,"tillverkning av maskiner för produktion av textil-, beklädnads- och lädervaror"
SNI2007_28950,"tillverkning av maskiner för produktion av massa, papper och papp"
SNI2007_28960,tillverkning av maskiner för gummi och plast
SNI2007_28990,tillverkning av övriga specialmaskiner
SNI2007_29101,tillverkning av personbilar och andra lätta motorfordon
SNI2007_29102,tillverkning av lastbilar och andra tunga motorfordon
SNI2007_29200,tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar
SNI2007_29310,tillverkning av elektrisk och elektronisk utrustning för motorfordon
SNI2007_29320,tillverkning av andra delar och tillbehör till motorfordon
SNI2007_30110,byggande av fartyg och flytande materiel
SNI2007_30120,byggande av fritidsbåtar
SNI2007_30200,tillverkning av rälsfordon
SNI2007_30300,"tillverkning av luftfartyg, rymdfarkoster o.d."
SNI2007_30400,tillverkning av militära stridsfordon
SNI2007_30910,tillverkning av motorcyklar
SNI2007_30920,tillverkning av cyklar och invalidfordon
SNI2007_30990,diverse övrig transportmedelstillverkning
SNI2007_31011,tillverkning av kontors- och butiksmöbler
SNI2007_31012,tillverkning av kontors- och butiksinredningar
SNI2007_31021,tillverkning av köksmöbler
SNI2007_31022,tillverkning av köksinredningar
SNI2007_31030,tillverkning av madrasser
SNI2007_31090,tillverkning av andra möbler
SNI2007_32110,prägling av mynt
SNI2007_32120,"tillverkning av smycken, guld- och silversmedsvaror"
SNI2007_32130,tillverkning av bijouterier o.d.
SNI2007_32200,tillverkning av musikinstrument
SNI2007_32300,tillverkning av sportartiklar
SNI2007_32400,tillverkning av spel och leksaker
SNI2007_32501,tillverkning av medicinska och dentala instrument och tillbehör
SNI2007_32502,tillverkning av tandproteser
SNI2007_32910,tillverkning av borstbinderiarbeten
SNI2007_32990,diverse övrig tillverkning
SNI2007_33110,reparation av metallvaror
SNI2007_33120,reparation av maskiner
SNI2007_33130,reparation av elektronisk och optisk utrustning
SNI2007_33140,reparation av elapparatur
SNI2007_33150,reparation och underhåll av fartyg och båtar
SNI2007_33160,reparation och underhåll av luftfartyg och rymdfarkoster
SNI2007_33170,reparation och underhåll av andra transportmedel
SNI2007_33190,reparation av annan utrustning
SNI2007_33200,installation av industrimaskiner och -utrustning
SNI2007_35110,generering av elektricitet
SNI2007_35120,överföring av elektricitet
SNI2007_35130,distribution av elektricitet
SNI2007_35140,handel med elektricitet
SNI2007_35210,framställning av gas
SNI2007_35220,distribution av gasformiga bränslen via rörnät
SNI2007_35230,handel med gas via rörnät
SNI2007_35300,försörjning av värme och kyla
SNI2007_36001,grundvattenförsörjning
SNI2007_36002,ytvattenförsörjning
SNI2007_37000,avloppsrening
SNI2007_38110,insamling av icke-farligt avfall
SNI2007_38120,insamling av farligt avfall
SNI2007_38210,behandling och bortskaffande av icke-farligt avfall
SNI2007_38220,behandling och bortskaffande av farligt avfall
SNI2007_38311,demontering av uttjänta fordon
SNI2007_38312,demontering av elektrisk och elektronisk utrustning
SNI2007_38319,demontering av övrig kasserad utrustning
SNI2007_38320,återvinning av källsorterat material
SNI2007_39000,"sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning"
SNI2007_41100,utformning av byggprojekt
SNI2007_41200,byggande av bostadshus och andra byggnader
SNI2007_42110,anläggning av vägar och motorvägar
SNI2007_42120,anläggning av järnvägar och tunnelbanor
SNI2007_42130,anläggning av broar och tunnlar
