id,label,parent
4320,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre",3161
4321,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Inomhus",3161
4322,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Utomhus",3161
4323,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Bekant med offret",3161
4324,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Obekant med offret",3161
4325,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Inomhus, bekant med offret",3161
4326,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Inomhus, obekant med offret",3161
4327,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Utomhus, bekant med offret",3161
4328,"Våldsbrott, Misshandel inkl.grov, Mot man 18 år eller äldre, Utomhus, obekant med offret",3161
4329,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år",3162
4330,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Inomhus",3162
4331,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Utomhus",3162
4332,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Fullbordat",3162
4333,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Försök",3162
4334,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Inomhus, fullbordat",3162
4335,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Inomhus, försök",3162
4336,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Utomhus, fullbordat",3162
4337,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka under 15 år, Utomhus, försök",3162
4338,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år",3162
4339,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Inomhus",3162
4340,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Utomhus",3162
4341,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Fullbordat",3162
4342,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Försök",3162
4343,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Inomhus, fullbordat",3162
4344,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Inomhus, försök",3162
4345,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Utomhus, fullbordat",3162
4346,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke under 15 år, Utomhus, försök",3162
4347,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år",3162
4348,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Inomhus",3162
4349,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Utomhus",3162
4350,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Fullbordat",3162
4351,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Försök",3162
4352,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Inomhus, fullbordat",3162
4353,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Inomhus, försök",3162
4354,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Utomhus, fullbordat",3162
4355,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot flicka 15-17 år, Utomhus, försök",3162
4356,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år",3162
4357,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Inomhus",3162
4358,"Våldsbrott, Våldtäkt inkl. grov (ingår även i sexualbrott), Mot pojke 15-17 år, Utomhus",3162
