id,label,smhi_id,municipality,parent,neighbours
smhi_115320,Lobonäs D,115320,Ovanåkers kommun,Gävleborgs län,smhi_115220
smhi_115450,Los D,115450,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_116430,smhi_115500,smhi_126120,smhi_125030,smhi_114390,smhi_114410"
smhi_115500,Föne D,115500,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_116430,smhi_115450,smhi_126120,smhi_125030,smhi_114390,smhi_114410"
smhi_116070,Härnebo,116070,Söderhamns kommun,Gävleborgs län,smhi_116170
smhi_116150,Kilafors D,116150,Bollnäs kommun,Gävleborgs län,"smhi_116250,smhi_116340"
smhi_116170,Söderala D,116170,Söderhamns kommun,Gävleborgs län,smhi_116070
smhi_116250,Bollnäs D,116250,Bollnäs kommun,Gävleborgs län,"smhi_116150,smhi_116340"
smhi_116340,Simeå,116340,Bollnäs kommun,Gävleborgs län,"smhi_116150,smhi_116250"
smhi_116360,Nianfors,116360,Hudiksvalls kommun,Gävleborgs län,"smhi_117440,smhi_117430,smhi_116490"
smhi_116430,Järvsö,116430,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_115500,smhi_115450,smhi_126120,smhi_125030,smhi_114390,smhi_114410"
smhi_116490,Delsbo A,116490,Hudiksvalls kommun,Gävleborgs län,"smhi_117440,smhi_117430,smhi_116360"
smhi_117430,Kuggören A,117430,Hudiksvalls kommun,Gävleborgs län,"smhi_117440,smhi_116490,smhi_116360"
smhi_117440,Hudiksvall,117440,Hudiksvalls kommun,Gävleborgs län,"smhi_117430,smhi_116490,smhi_116360"
smhi_117570,Bergsjö,117570,Nordanstigs kommun,Gävleborgs län,"smhi_127090,smhi_126080"
smhi_122200,Myskelåsen D,122200,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_123340,smhi_123060,smhi_124040,smhi_124110,smhi_122370,smhi_124030"
smhi_122260,Tännäs A,122260,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122270,smhi_123340,smhi_122200,smhi_123060,smhi_124040,smhi_124110,smhi_122370,smhi_124030"
smhi_122270,Medskogen,122270,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_123340,smhi_122200,smhi_123060,smhi_124040,smhi_124110,smhi_122370,smhi_124030"
smhi_122330,Ljusnedal,122330,Härjedalens kommun,Jämtlands län,"smhi_122200,smhi_122260,smhi_122270,smhi_123340,smhi_123060,smhi_124040,smhi_124110,smhi_122370,smhi_124030"
smhi_122370,Malmagen,122370,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_123340,smhi_122200,smhi_123060,smhi_124040,smhi_124110,smhi_124030"
smhi_122510,Ljungdalen,122510,Bergs kommun,Jämtlands län,"smhi_124280,smhi_124300,smhi_124290,smhi_124400,smhi_123460,smhi_124480"
smhi_123020,Häggberget D,123020,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_123060,Dravagen A,123060,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_123340,smhi_122200,smhi_124040,smhi_124110,smhi_122370,smhi_124030"
smhi_123340,Hedeviken,123340,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_122200,smhi_123060,smhi_124040,smhi_124110,smhi_122370,smhi_124030"
smhi_123460,Börtnan A,123460,Bergs kommun,Jämtlands län,"smhi_124280,smhi_124400,smhi_124300,smhi_122510,smhi_124480,smhi_124290"
smhi_124030,Sveg A,124030,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_123340,smhi_122200,smhi_123060,smhi_124040,smhi_124110,smhi_122370"
smhi_124040,Ytterberg D,124040,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_123340,smhi_122200,smhi_123060,smhi_124110,smhi_122370,smhi_124030"
smhi_124110,Ytterhogdal,124110,Härjedalens kommun,Jämtlands län,"smhi_122330,smhi_122260,smhi_122270,smhi_123340,smhi_122200,smhi_123060,smhi_124040,smhi_122370,smhi_124030"
smhi_124280,Rätan,124280,Bergs kommun,Jämtlands län,"smhi_124300,smhi_124290,smhi_122510,smhi_123460,smhi_124480,smhi_124400"
