"id","municipality","original_id","road_name","road_number","road_type","station"
"Rv66 Söderbärke-Smedjebacken","Smedjebackens kommun","Rv66 Söderbärke-Smedjebacken","Riksväg 66","66","national_road",
"Lv 153 Klastorp - Rolfstorp","Varbergs kommun","Lv 153 Klastorp - Rolfstorp","Länsväg 153","153","county_road",
"Rv 52 Baggetorp - Katrineholm","Vingåkers kommun","Rv 52 Baggetorp - Katrineholm","Riksväg 52","52","national_road",
"Rv 13 Ystad - Sjöbo","Ystads kommun","Rv 13 Ystad - Sjöbo","Riksväg 13","13","national_road",
"Rv 13 Sjöbo - Hörby","Sjöbo kommun","Rv 13 Sjöbo - Hörby","Riksväg 13","13","national_road",
"Rv 47 Rännefalan-Tpl Falköping","Falköpings kommun","Rv 47 Rännefalan-Tpl Falköping","Riksväg 47","47","national_road",
"Rv 66 Smedjebacken - Ludvika","Smedjebackens kommun","Rv 66 Smedjebacken - Ludvika","Riksväg 66","66","national_road",
"Lv 110 Saxstorp-Ekeby","Bjuvs kommun","Lv 110 Saxstorp-Ekeby","Länsväg 110","110","county_road",
"E4 Hörnefors-Sörmjöle","Umeå kommun","E4 Hörnefors-Sörmjöle","E4","E4","street",
"Rv 27 Backaryd","Ronneby kommun","Rv 27 Backaryd","Riksväg 27","27","national_road",
"Lv 263 Sigtuna-Märsta","Sigtuna kommun","Lv 263 Sigtuna-Märsta","Länsväg 263","263","county_road",
"Rv 57 Mölnbo-Järna","Södertälje kommun","Rv 57 Mölnbo-Järna","Riksväg 57","57","national_road",
"Rv 25 Tofta-Simlångsdalen","Halmstads kommun","Rv 25 Tofta-Simlångsdalen","Riksväg 25","25","national_road",
"Rv 13 Hörby-Höör","Hörby kommun","Rv 13 Hörby-Höör","Riksväg 13","13","national_road",
"Lv 205 Degerfors-Karlskoga","Degerfors kommun","Lv 205 Degerfors-Karlskoga","Länsväg 205","205","county_road",
"Rv 66 Oti-Fagersta","Fagersta kommun","Rv 66 Oti-Fagersta","Riksväg 66","66","national_road",
"Rv 52 Stigtomta-Nyköping","Nyköpings kommun","Rv 52 Stigtomta-Nyköping","Riksväg 52","52","national_road",
"Rv 52 Kävesta - Sköllersta","Hallsbergs kommun","Rv 52 Kävesta - Sköllersta","Riksväg 52","52","national_road",
"Rv 83 Skästra","Ljusdals kommun","Rv 83 Skästra","Riksväg 83","83","national_road",
"Rv 51 Kvarntorp-Kumla","Kumla kommun","Rv 51 Kvarntorp-Kumla","Riksväg 52","52","national_road",
"Lv 250 Köping-Kolsva","Köpings kommun","Lv 250 Köping-Kolsva","Länsväg 250","250","county_road",
"Lv 274 Ladvik-Vaxholm","Vaxholms kommun","Lv 274 Ladvik-Vaxholm","Länsväg 274","274","county_road",
"Österleden","Västerås kommun","Österleden","Österleden","Österleden","street",
"Väg 616 Gäddvik - Bergnäset","Luleå kommun","Väg 616 Gäddvik - Bergnäset","Länsväg 616","616","county_road",
"Lv 563 Björlanda - Bärby","Göteborgs kommun","Lv 563 Björlanda - Bärby","Länsväg 563","563","county_road",
"E 20 Åängen - Ledsjön","Götene kommun","E 20 Åängen - Ledsjön","E20","E20","street",
"Rv 49 Axvall - Varnhem","Skara kommun","Rv 49 Axvall - Varnhem","Riksväg 49","49","national_road",
"Rv 26 Drevsta Övre Kvarnmotet","Kristinehamns kommun","Rv 26 Drevsta Övre Kvarnmotet","Riksväg 26","26","national_road",
"Rv 50 Löa-Grängesberg","Ljusnarsbergs kommun","Rv 50 Löa-Grängesberg","Riksväg 50","50","national_road",
"Rv 50 Nykyrka-Örebro länsgräns","Motala kommun","Rv 50 Nykyrka-Örebro länsgräns","Riksväg 50","50","national_road",
"Rv 32 Sommen-Boxholm","Boxholms kommun","Rv 32 Sommen-Boxholm","Riksväg 32","32","national_road",
"RV52 Sköllersta-Lännäs","Örebro kommun","RV52 Sköllersta-Lännäs","Riksväg 52","52","national_road",
"E20 Lekåsa-Vara","Vara kommun","E20 Lekåsa-Vara","E20","E20","street",
"14044","Marks kommun","14044","Riksväg 41","41","national_road","14044"
"14045","Vara kommun","14045","Riksväg 47","47","national_road","14045"
"19501","Västerås kommun","19501","Stockholmsvägen","Stockholmsvägen","street","19501"
"13009","Kungsbacka kommun","13009","Länsväg 939","939","county_road","13009"
"17008","Kils kommun","17008","Riksväg 61","61","national_road","17008"
"17007","Torsby kommun","17007","E16","E16","street","17007"
"20009","Falu kommun","20009","E16","E16","street","20009"
"20010","Borlänge kommun","20010","Riksväg 70","70","national_road","20010"
"21011","Bollnäs kommun","21011","Riksväg 83","83","national_road","21011"
"21014","Ljusdals kommun","21014","Riksväg 83","83","national_road","21014"
"21013","Nordanstigs kommun","21013","E4","E4","street","21013"
"21012","Gävle kommun","21012","Riksväg 76","76","national_road","21012"
"22011","Sundsvalls kommun","22011","Riksväg 86","86","national_road","22011"
"22012","Sundsvalls kommun","22012","E4","E4","street","22012"
"25014","Pajala kommun","25014","Riksväg 99","99","national_road","25014"
"14050","Hjo kommun","14050","Länsväg 195","195","county_road","14050"
"20011","Hedemora kommun","20011","E16","E16","street","20011"
"03015","Knivsta kommun","03015","Länsväg 255","255","county_road","03015"
"03013","Enköpings kommun","03013","Länsväg 263","263","county_road","03013"
"19008","Västerås kommun","19008","Länsväg 681","681","county_road","19008"
"04009","Strängnäs kommun","04009","Riksväg 55","55","national_road","04009"
"03014","Uppsala kommun","03014","Länsväg 272","272","county_road","03014"
"23004","Åre kommun","23004","E14","E14","street","23004"
"23007","Östersunds kommun","23007","Länsväg 609","609","county_road","23007"
"23003","Åre kommun","23003","E14","E14","street","23003"
"22014","Härnösands kommun","22014","E4","E4","street","22014"
"22013","Ånge kommun","22013","E14","E14","street","22013"
"23005","Härjedalens kommun","23005","Riksväg 84","84","national_road","23005"
"23006","Bergs kommun","23006","E45","E45","street","23006"
"24013","Skellefteå kommun","24013","Riksväg 95","95","national_road","24013"
"25017","Piteå kommun","25017","Länsväg 506","506","county_road","25017"
"25015","Piteå kommun","25015","Länsväg 374","374","county_road","25015"
"25016","Piteå kommun","25016","Länsväg 373","373","county_road","25016"
"03017","Håbo kommun","03017","Länsväg 545","545","county_road","03017"
"04010","Flens kommun","04010","Riksväg 53","53","national_road","04010"
"05010","Motala kommun","05010","Länsväg 1050","1050","county_road","05010"
"05012","Linköpings kommun","05012","Länsväg 1136","1136","county_road","05012"
"05011","Motala kommun","05011","Länsväg 1050","1050","county_road","05011"
"17009","Arvika kommun","17009","Riksväg 61","61","national_road","17009"
"13012","Halmstads kommun","13012","Länsväg 610","610","county_road","13012"
"13010","Halmstads kommun","13010","Riksväg 15","15","national_road","13010"
"13011","Halmstads kommun","13011","Riksväg 15","15","national_road","13011"
"20017","Älvdalens kommun","20017","Riksväg 70","70","national_road","20017"
"07007","Växjö kommun","07007","Riksväg 30","30","national_road","07007"
"08007","Mörbylånga kommun","08007","Länsväg 943","943","county_road","08007"
"02019","Norrtälje kommun","02019","Riksväg 77","77","national_road","02019"
"06014","Vetlanda kommun","06014","Riksväg 31","31","national_road","06014"
"06015","Sävsjö kommun","06015","Riksväg 30","30","national_road","06015"
"24014","Umeå kommun","24014","Länsväg 642","642","county_road","24014"
"20019","Avesta kommun","20019","Riksväg 68","68","national_road","20019"
"20020","Avesta kommun","20020","Riksväg 70","70","national_road","20020"
