id,label,parent
bra_11305,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig avlyssning m.m. (8-9 a §)",bra_11091
bra_11306,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov fridskränkning (4 a §)",bra_11091
bra_11307,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov fridskränkning (4 a §), Mot barn under 18 år",bra_11091
bra_11308,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov fridskränkning (4 a §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_11314,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §)",bra_11091
bra_11315,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år",bra_11091
bra_11316,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_11317,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_11318,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot kvinna 18 år eller äldre",bra_11091
bra_11319,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot man 18 år eller äldre",bra_11091
bra_11320,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot grupp",bra_11091
bra_11323,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga förföljelse (4 b §)",bra_11091
bra_11324,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga förföljelse (4 b §), Mot barn under 18 år",bra_11091
bra_11325,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga förföljelse (4 b §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_11326,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga förföljelse (4 b §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_11327,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga förföljelse (4 b §), Mot kvinna 18 år eller äldre",bra_11091
bra_11328,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga förföljelse (4 b §), Mot man 18 år eller äldre",bra_11091
